{'loss': 0.1398, 'grad_norm': 2.359375, 'learning_rate': 1.671875e-05, 'logps/policy': -26.532527923583984, 'logps/anchor': 0.14393207430839539}
{'loss': 0.108, 'grad_norm': 2.078125, 'learning_rate': 1.6687500000000002e-05, 'logps/policy': -32.437644958496094, 'logps/anchor': 0.10407980531454086}
{'loss': 0.0798, 'grad_norm': 1.625, 'learning_rate': 1.665625e-05, 'logps/policy': -24.7005615234375, 'logps/anchor': 0.07141794264316559}
{'loss': 0.1167, 'grad_norm': 2.34375, 'learning_rate': 1.6625e-05, 'logps/policy': -18.656038284301758, 'logps/anchor': 0.12301351130008698}
{'loss': 0.1151, 'grad_norm': 2.53125, 'learning_rate': 1.659375e-05, 'logps/policy': -24.94953155517578, 'logps/anchor': 0.11412806808948517}
{'loss': 0.0814, 'grad_norm': 1.640625, 'learning_rate': 1.6562500000000003e-05, 'logps/policy': -24.192983627319336, 'logps/anchor': 0.0735003799200058}
{'loss': 0.088, 'grad_norm': 1.625, 'learning_rate': 1.6531250000000002e-05, 'logps/policy': -23.568286895751953, 'logps/anchor': 0.08272747695446014}
{'loss': 0.1447, 'grad_norm': 2.359375, 'learning_rate': 1.65e-05, 'logps/policy': -29.426597595214844, 'logps/anchor': 0.1569903939962387}
{'loss': 0.0904, 'grad_norm': 1.8203125, 'learning_rate': 1.6468750000000004e-05, 'logps/policy': -20.258167266845703, 'logps/anchor': 0.09153418242931366}
{'loss': 0.081, 'grad_norm': 1.703125, 'learning_rate': 1.6437500000000003e-05, 'logps/policy': -21.90432357788086, 'logps/anchor': 0.07728646695613861}
{'loss': 0.0953, 'grad_norm': 1.90625, 'learning_rate': 1.6406250000000002e-05, 'logps/policy': -28.526042938232422, 'logps/anchor': 0.09316228330135345}
{'loss': 0.0911, 'grad_norm': 2.0625, 'learning_rate': 1.6375e-05, 'logps/policy': -23.233259201049805, 'logps/anchor': 0.08667174726724625}
{'loss': 0.0928, 'grad_norm': 2.03125, 'learning_rate': 1.634375e-05, 'logps/policy': -28.37972068786621, 'logps/anchor': 0.08052901923656464}
{'loss': 0.1404, 'grad_norm': 2.5625, 'learning_rate': 1.6312500000000003e-05, 'logps/policy': -36.645355224609375, 'logps/anchor': 0.14340147376060486}
{'loss': 0.1715, 'grad_norm': 2.6875, 'learning_rate': 1.6281250000000003e-05, 'logps/policy': -20.890472412109375, 'logps/anchor': 0.18544790148735046}
{'loss': 0.1404, 'grad_norm': 2.390625, 'learning_rate': 1.6250000000000002e-05, 'logps/policy': -22.825109481811523, 'logps/anchor': 0.1579616367816925}
{'loss': 0.1772, 'grad_norm': 2.703125, 'learning_rate': 1.621875e-05, 'logps/policy': -29.22269630432129, 'logps/anchor': 0.20134666562080383}
{'loss': 0.1147, 'grad_norm': 2.140625, 'learning_rate': 1.61875e-05, 'logps/policy': -31.91994857788086, 'logps/anchor': 0.11610200256109238}
{'loss': 0.1324, 'grad_norm': 1.984375, 'learning_rate': 1.6156250000000003e-05, 'logps/policy': -30.431676864624023, 'logps/anchor': 0.13370823860168457}
{'loss': 0.0927, 'grad_norm': 2.171875, 'learning_rate': 1.6125000000000002e-05, 'logps/policy': -22.34036636352539, 'logps/anchor': 0.09054068475961685}
{'loss': 0.168, 'grad_norm': 2.40625, 'learning_rate': 1.609375e-05, 'logps/policy': -31.628828048706055, 'logps/anchor': 0.18167844414710999}
{'loss': 0.0949, 'grad_norm': 1.9375, 'learning_rate': 1.60625e-05, 'logps/policy': -30.058612823486328, 'logps/anchor': 0.0867527574300766}
{'loss': 0.0929, 'grad_norm': 1.78125, 'learning_rate': 1.603125e-05, 'logps/policy': -22.830642700195312, 'logps/anchor': 0.0878753736615181}
{'loss': 0.0845, 'grad_norm': 1.890625, 'learning_rate': 1.6000000000000003e-05, 'logps/policy': -25.30141830444336, 'logps/anchor': 0.07716309279203415}
{'loss': 0.106, 'grad_norm': 2.5625, 'learning_rate': 1.5968750000000002e-05, 'logps/policy': -16.887516021728516, 'logps/anchor': 0.11422146111726761}
{'loss': 0.0777, 'grad_norm': 1.9453125, 'learning_rate': 1.59375e-05, 'logps/policy': -15.519047737121582, 'logps/anchor': 0.08143152296543121}
{'loss': 0.1042, 'grad_norm': 2.140625, 'learning_rate': 1.590625e-05, 'logps/policy': -13.762411117553711, 'logps/anchor': 0.11353554576635361}
{'loss': 0.0923, 'grad_norm': 1.953125, 'learning_rate': 1.5875e-05, 'logps/policy': -13.516928672790527, 'logps/anchor': 0.10158393532037735}
{'loss': 0.0869, 'grad_norm': 1.8359375, 'learning_rate': 1.5843750000000002e-05, 'logps/policy': -28.463306427001953, 'logps/anchor': 0.07770701497793198}
{'loss': 0.0859, 'grad_norm': 1.734375, 'learning_rate': 1.58125e-05, 'logps/policy': -11.287175178527832, 'logps/anchor': 0.09163891524076462}
{'loss': 0.0789, 'grad_norm': 2.140625, 'learning_rate': 1.578125e-05, 'logps/policy': -12.65119743347168, 'logps/anchor': 0.08650199323892593}
{'loss': 0.0908, 'grad_norm': 2.875, 'learning_rate': 1.575e-05, 'logps/policy': -20.594810485839844, 'logps/anchor': 0.09301452338695526}
{'loss': 0.1435, 'grad_norm': 2.78125, 'learning_rate': 1.571875e-05, 'logps/policy': -17.55267333984375, 'logps/anchor': 0.17548060417175293}
{'loss': 0.1415, 'grad_norm': 2.46875, 'learning_rate': 1.5687500000000002e-05, 'logps/policy': -15.387582778930664, 'logps/anchor': 0.15843427181243896}
{'loss': 0.1256, 'grad_norm': 2.15625, 'learning_rate': 1.565625e-05, 'logps/policy': -13.37681770324707, 'logps/anchor': 0.140714630484581}
{'loss': 0.1382, 'grad_norm': 2.3125, 'learning_rate': 1.5625e-05, 'logps/policy': -24.340198516845703, 'logps/anchor': 0.15230663120746613}
{'loss': 0.0844, 'grad_norm': 2.0625, 'learning_rate': 1.559375e-05, 'logps/policy': -14.27055549621582, 'logps/anchor': 0.08712732791900635}
{'loss': 0.0742, 'grad_norm': 1.734375, 'learning_rate': 1.55625e-05, 'logps/policy': -16.0927734375, 'logps/anchor': 0.0782667025923729}
{'loss': 0.0609, 'grad_norm': 1.7421875, 'learning_rate': 1.553125e-05, 'logps/policy': -11.592348098754883, 'logps/anchor': 0.06488092243671417}
{'loss': 0.0884, 'grad_norm': 1.875, 'learning_rate': 1.55e-05, 'logps/policy': -15.780949592590332, 'logps/anchor': 0.09096209704875946}
{'loss': 0.0728, 'grad_norm': 1.53125, 'learning_rate': 1.546875e-05, 'logps/policy': -13.668722152709961, 'logps/anchor': 0.07722979038953781}
{'loss': 0.0731, 'grad_norm': 1.6875, 'learning_rate': 1.54375e-05, 'logps/policy': -13.477119445800781, 'logps/anchor': 0.07540928572416306}
{'loss': 0.1104, 'grad_norm': 1.984375, 'learning_rate': 1.5406250000000002e-05, 'logps/policy': -15.626272201538086, 'logps/anchor': 0.1264280378818512}
{'loss': 0.0761, 'grad_norm': 1.671875, 'learning_rate': 1.5375e-05, 'logps/policy': -17.202468872070312, 'logps/anchor': 0.07925398647785187}
{'loss': 0.0747, 'grad_norm': 2.015625, 'learning_rate': 1.534375e-05, 'logps/policy': -6.299976348876953, 'logps/anchor': 0.08676402270793915}
{'loss': 0.1532, 'grad_norm': 2.6875, 'learning_rate': 1.5312500000000003e-05, 'logps/policy': -16.906089782714844, 'logps/anchor': 0.18037733435630798}
{'loss': 0.0754, 'grad_norm': 1.7109375, 'learning_rate': 1.5281250000000002e-05, 'logps/policy': -11.54130744934082, 'logps/anchor': 0.08160261064767838}
{'loss': 0.1128, 'grad_norm': 2.171875, 'learning_rate': 1.525e-05, 'logps/policy': -22.18967628479004, 'logps/anchor': 0.12402039021253586}
{'loss': 0.1086, 'grad_norm': 1.96875, 'learning_rate': 1.5218750000000002e-05, 'logps/policy': -17.138221740722656, 'logps/anchor': 0.12006903439760208}
{'loss': 0.0745, 'grad_norm': 1.8984375, 'learning_rate': 1.5187500000000002e-05, 'logps/policy': -20.332321166992188, 'logps/anchor': 0.07201509922742844}
{'loss': 0.0644, 'grad_norm': 1.8203125, 'learning_rate': 1.515625e-05, 'logps/policy': -12.152373313903809, 'logps/anchor': 0.06943958252668381}
{'loss': 0.1494, 'grad_norm': 5.625, 'learning_rate': 1.5125e-05, 'logps/policy': -13.716562271118164, 'logps/anchor': 0.18220025300979614}
{'loss': 0.1028, 'grad_norm': 2.046875, 'learning_rate': 1.5093750000000001e-05, 'logps/policy': -14.055448532104492, 'logps/anchor': 0.1156264990568161}
{'loss': 0.1087, 'grad_norm': 2.203125, 'learning_rate': 1.5062500000000002e-05, 'logps/policy': -15.668316841125488, 'logps/anchor': 0.1187073290348053}
{'loss': 0.1142, 'grad_norm': 2.296875, 'learning_rate': 1.5031250000000001e-05, 'logps/policy': -19.07347869873047, 'logps/anchor': 0.1258816421031952}
{'loss': 0.1051, 'grad_norm': 2.296875, 'learning_rate': 1.5000000000000002e-05, 'logps/policy': -15.327792167663574, 'logps/anchor': 0.1188473105430603}
{'loss': 0.0802, 'grad_norm': 1.953125, 'learning_rate': 1.4968750000000001e-05, 'logps/policy': -16.68104362487793, 'logps/anchor': 0.08535388112068176}
{'loss': 0.0684, 'grad_norm': 1.953125, 'learning_rate': 1.49375e-05, 'logps/policy': -13.474944114685059, 'logps/anchor': 0.07958071678876877}
{'loss': 0.1427, 'grad_norm': 2.546875, 'learning_rate': 1.4906250000000001e-05, 'logps/policy': -16.974437713623047, 'logps/anchor': 0.16666077077388763}
{'loss': 0.1666, 'grad_norm': 2.96875, 'learning_rate': 1.4875000000000002e-05, 'logps/policy': -14.574594497680664, 'logps/anchor': 0.19486171007156372}
{'loss': 0.1502, 'grad_norm': 2.671875, 'learning_rate': 1.4843750000000002e-05, 'logps/policy': -8.465592384338379, 'logps/anchor': 0.16910436749458313}
{'loss': 0.0868, 'grad_norm': 2.03125, 'learning_rate': 1.4812500000000001e-05, 'logps/policy': -13.569803237915039, 'logps/anchor': 0.09720771759748459}
{'loss': 0.0872, 'grad_norm': 1.703125, 'learning_rate': 1.478125e-05, 'logps/policy': -16.104270935058594, 'logps/anchor': 0.09146465361118317}
{'loss': 0.1073, 'grad_norm': 2.078125, 'learning_rate': 1.4750000000000003e-05, 'logps/policy': -12.595989227294922, 'logps/anchor': 0.12649443745613098}
{'loss': 0.0806, 'grad_norm': 1.90625, 'learning_rate': 1.4718750000000002e-05, 'logps/policy': -10.022846221923828, 'logps/anchor': 0.09071792662143707}
{'loss': 0.1092, 'grad_norm': 2.203125, 'learning_rate': 1.4687500000000001e-05, 'logps/policy': -15.606070518493652, 'logps/anchor': 0.11917264014482498}
{'loss': 0.1002, 'grad_norm': 2.546875, 'learning_rate': 1.465625e-05, 'logps/policy': -11.440876960754395, 'logps/anchor': 0.12192818522453308}
{'loss': 0.1317, 'grad_norm': 2.796875, 'learning_rate': 1.4625e-05, 'logps/policy': -15.855518341064453, 'logps/anchor': 0.15180668234825134}
{'loss': 0.1591, 'grad_norm': 3.015625, 'learning_rate': 1.4593750000000002e-05, 'logps/policy': -14.355720520019531, 'logps/anchor': 0.18154574930667877}
